cod,grupo,des
1000,Caixa de Velocidades,Caixa de Velocidades Manual - Completa
1001,Caixa de Velocidades,Caixa de Velocidades Automática - Completa
1002,Caixa de Velocidades,Mudança de Óleo
1003,Caixa de Velocidades,Fuga de Óleo
1004,Caixa de Velocidades,Caixa de Velocidades - Vários
1005,Caixa de Velocidades,Embraiagem - Completa
1006,Caixa de Velocidades,Embraiagem - Rolamento de Encosto / Pressão
1007,Caixa de Velocidades,Embraiagem - Prato
1008,Caixa de Velocidades,Disco de Embraiagem
1009,Caixa de Velocidades,Embraiagem - Vários
1010,Caixa de Velocidades,Apoios
1011,Caixa de Velocidades,Cabos e Tubos
1100,Carroçaria e Interior,Portas - Geral
1101,Carroçaria e Interior,Motor do Limpa-Vidros
1102,Carroçaria e Interior,Braço do Limpa-Vidros
1103,Carroçaria e Interior,Escovas Frente
1104,Carroçaria e Interior,Escovas Traseiro
1105,Carroçaria e Interior,Escovas Faróis
1106,Carroçaria e Interior,Depósito da Água do Limpa Vidros
1107,Carroçaria e Interior,Liquído do Limpa Vidros
1108,Carroçaria e Interior,Pára-brisas / Escovas - Vários
1110,Carroçaria e Interior,Carroçaria - Geral
1111,Carroçaria e Interior,Mecanismo de Abertura das Portas
1112,Carroçaria e Interior,Fecho Central
1113,Carroçaria e Interior,Espelho - Esquerdo
1114,Carroçaria e Interior,Espelho - Direito
1115,Carroçaria e Interior,Chapa de Matrícula
1116,Carroçaria e Interior,Velocimetro
1117,Carroçaria e Interior,Canhão de Ignição
1118,Carroçaria e Interior,Buzina
1119,Carroçaria e Interior,Tecto de Abrir
1120,Carroçaria e Interior,Acessórios de Série
1121,Carroçaria e Interior,Acessorios não de Série
1122,Carroçaria e Interior,Vários do Tablier e Interior
1124,Carroçaria e Interior,Assentos - Vários
1125,Carroçaria e Interior,Airbag - Condutor
1127,Carroçaria e Interior,Airbag - Passageiro
1128,Carroçaria e Interior,Airbag - Sensor
1129,Carroçaria e Interior,Airbag - Vários
1130,Carroçaria e Interior,Antena
1131,Carroçaria e Interior,Comutadores
1132,Carroçaria e Interior,Depósito de Combustível
1133,Carroçaria e Interior,Espelho Interior
1134,Carroçaria e Interior,Farol Dianteiro - Vidro
1135,Carroçaria e Interior,Farol Dianteiro Completo
1136,Carroçaria e Interior,Farol Traseiro - Vidro
1137,Carroçaria e Interior,Farol Traseiro Completo
1138,Carroçaria e Interior,Frisos Exteriores
1139,Carroçaria e Interior,Frisos Interiores
1140,Carroçaria e Interior,Guarda-Lamas
1141,Carroçaria e Interior,Interruptores Interiores
1142,Carroçaria e Interior,KIT do Conta-Quilómetros 
1143,Carroçaria e Interior,Lavagem Exterior
1144,Carroçaria e Interior,Lavagem Interior
1145,Carroçaria e Interior,Manete das Velocidades
1146,Carroçaria e Interior,Manete Travão
1147,Carroçaria e Interior,Pára-Choques
1148,Carroçaria e Interior,Pedais
1149,Carroçaria e Interior,Pintura - Capot
1150,Carroçaria e Interior,Pintura - Portas
1151,Carroçaria e Interior,Pintura - Tecto
1152,Carroçaria e Interior,Pintura - Vários
1153,Carroçaria e Interior,Quadrante
1154,Carroçaria e Interior,Serviços de Bate-Chapas
1155,Carroçaria e Interior,Tapetes
1156,Carroçaria e Interior,Tubos Depósito de Combustível
1157,Carroçaria e Interior,Vidro Pára-Brisas
